,Alcohol,Alzheimers & Dementia,Anemia,Asthma,Birth Trauma,Bladder Cancer,Breast Cancer,Cervical Cancer,Colon-Rectum Cancers,Congenital Anomalies,Coronary Heart Disease,Diabetes Mellitus,Diarrhoeal diseases,Drownings,Drug Use,Endocrine Disorders,Falls,Fires,Hepatitis C,HIV/AIDS,Hypertension,Inflammatory/Heart,Kidney Disease,Leukemia,Liver Cancer,Liver Disease,Low Birth Weight,Lung Cancers,Lung Disease,Malaria,Malnutrition,Multiple Sclerosis,Oesophagus Cancer,Oral Cancer,Ovary Cancer,Pancreas Cancer,Peptic Ulcer Disease,Poisonings,Prostate Cancer,Rheumatic Heart Disease,Road Traffic Accidents,Skin Cancers,Skin Disease,Stomach Cancer,Stroke,Suicide,Tuberculosis,Uterin Cancer,Labor Force ,Electricity Production ,Petroleum Consumption ,Total Fertility Rates ,Young Population ,Natural Gas Consumption ,Infant Mortality Rates ,Natural Gas Production ,Taxes ,Maternal Mortality Rates ,Gross Domestic Product (GDP) ,Imports ,Older Population ,Carbon Dioxide Emissions ,Obesity ,Nuclear Electricity ,Electricity by Renewable Sources ,Natural Gas Imports ,Population ,Median Age ,Unimproved Drinking Water Sources ,Crude Oil Exports ,Hydro Electricity ,Electricity Consumption ,Inflation Rates ,External Debts ,Crude Oil Imports ,Birth Rates ,Deaths per Day,Life Expectancy,Emerging Countries,Global North Countries,Global South Countries,Medical Bankruptcies by Country,Richest Countries in the World,Social Mobility by Country,Countries by IQ - Average IQ by Country,Diabetes Rates by Country,Health Care Costs by Country,Lactose Intolerance by Country,Obesity Rates by Country,Zika Virus Countries
Morocco,97.73,0.0,10.42,4.05,3.25,750.22,7.08,7.39,4.67,242.07,22.25,3.52,1.17,0.94,3.35,7.7,2.59,0.02,0.79,34.58,3.13,750.22,3.03,1.24,14.62,6.59,18.44,20.04,0.0,0.64,0.3,1.29,2.27,6.43,2.09,750.22,0.74,6.31,2.13,17.29,1.5,0.49,4.83,101.53,7.29,8.35,0.44,1.75,12000000.0,28750.0,278000.0,2.29,27.0,1218000.0,19.0,87780.0,24.0,70.0,280811.0,39640.0,7.1,55400000.0,26.1,0.0,15.0,1133000.0,35373000.0,29.1,14.6,0.0,16.0,28250.0,0.8,42980.0,61160.0,17.58,525.0,77.21,37772756.0,No,Yes,37772756.0,114720000000.0,37772756.0,67.03,0.09,37772756.0,37772756.0,0.261,No mosquitoes that spread Zika
Iran,88.46,0.0,5.07,2.23,2.18,528.01,0.69,6.65,4.74,142.51,20.84,2.38,1.16,2.62,2.83,3.88,2.3,0.0,2.75,25.73,2.29,528.01,5.5,5.46,9.41,4.04,9.96,17.75,0.0,0.23,0.5,3.58,0.95,5.05,3.56,528.01,0.98,5.82,1.41,22.15,0.77,0.37,14.67,57.21,5.13,1.25,0.49,3.01,30500000.0,272300.0,1804000.0,1.93,24.1,206900000.0,15.1,214500000.0,16.0,16.0,1640000.0,76390.0,5.9,638300000.0,25.8,1.0,0.0,3993000.0,84038000.0,31.7,3.8,750200.0,15.0,236300.0,9.6,7116.0,0.0,15.78,1128.0,77.134,86022837.0,No,Yes,86022837.0,938050000000.0,86022837.0,80.01,0.09,86022837.0,86022837.0,0.258,No mosquitoes that spread Zika
Lebanon,140.46,0.0,4.75,0.8,11.1,591.32,2.04,13.1,4.05,211.21,15.05,1.26,0.9,4.25,2.24,2.27,1.48,0.06,0.74,22.75,2.39,591.32,5.06,3.41,10.4,2.25,23.21,14.23,0.0,0.17,0.24,0.8,2.47,2.52,4.21,591.32,0.57,7.03,0.73,16.56,4.6,0.3,7.38,28.55,2.76,1.02,1.56,4.1,2166000.0,17590.0,154000.0,1.71,20.8,0.0,7.2,0.0,19.2,29.0,88250.0,18340.0,8.0,23360000.0,32.0,0.0,1.0,0.0,5470000.0,33.7,1.0,0.0,11.0,15710.0,4.5,40740.0,0.0,13.35,86.0,79.18,6684849.0,No,Yes,6684849.0,27320000000.0,6684849.0,81.7,0.08,6684849.0,6684849.0,0.337,No mosquitoes that spread Zika
Italy,105.72,0.62,0.26,0.4,3.38,324.46,0.95,11.95,2.59,42.43,9.21,0.64,0.46,0.78,4.79,2.13,0.2,1.36,0.6,10.77,2.98,324.46,4.17,5.97,3.92,1.13,21.68,13.17,0.0,0.31,0.56,1.36,2.31,5.34,7.4,324.46,0.17,3.86,1.07,4.13,2.05,0.59,6.0,25.15,4.33,0.2,1.34,0.6,25940000.0,275300.0,1236000.0,1.47,13.5,75150000.0,3.14,5550000.0,45.5,2.0,2234459.0,432900.0,22.1,351000000.0,19.9,0.0,32.0,69660000.0,59421000.0,46.5,0.0,13790.0,14.0,293500.0,1.3,2444000.0,1341000.0,8.37,1788.0,83.856,60262770.0,Yes,No,60262770.0,1890000000000.0,60262770.0,94.23,0.06,60262770.0,60262770.0,0.19899999999999998,No mosquitoes that spread Zika
Qatar,76.16,0.0,1.41,0.66,4.03,713.41,0.74,10.56,3.81,227.64,112.65,0.98,1.56,0.8,4.61,6.19,2.19,0.01,0.0,6.19,3.34,713.41,3.39,4.56,27.39,2.36,10.46,16.88,0.0,0.2,0.09,2.64,2.2,5.08,3.34,713.41,0.27,3.47,1.01,8.79,0.55,4.68,5.12,51.69,4.66,0.25,0.55,0.68,1953000.0,39780.0,277000.0,1.9,12.8,39900000.0,6.7,166400000.0,26.6,9.0,344108.0,30770.0,1.2,114200000.0,35.1,0.0,1.0,0.0,2805000.0,33.7,0.0,1150000.0,0.0,37240.0,0.4,159200.0,0.0,9.38,11.0,80.588,2979915.0,No,Yes,2979915.0,144410000000.0,2979915.0,80.78,0.2,2979915.0,2979915.0,0.35100000000000003,No mosquitoes that spread Zika
Tunisia,80.99,0.0,5.34,2.96,5.21,537.97,1.57,7.69,7.36,164.63,14.15,1.57,1.06,1.88,2.35,3.61,1.66,0.01,2.06,22.55,2.39,537.97,3.15,2.83,10.46,6.32,14.42,14.05,0.0,0.19,0.26,0.87,1.83,3.06,2.82,537.97,0.67,3.35,0.99,16.02,1.69,0.33,4.63,68.1,3.18,1.15,0.36,3.47,4054000.0,18440.0,102000.0,2.03,25.3,5125000.0,12.16,1274000.0,23.3,43.0,137700.0,19090.0,8.9,23420000.0,26.9,0.0,5.0,3851000.0,11758000.0,32.7,2.3,39980.0,1.0,15270.0,5.3,27230.0,17580.0,15.21,206.0,77.17,12046656.0,No,Yes,12046656.0,42500000000.0,12046656.0,79.22,0.1,12046656.0,12046656.0,0.26899999999999996,No mosquitoes that spread Zika
Kuwait,88.21,0.0,1.12,0.18,3.76,388.74,1.14,9.88,5.27,94.14,14.78,0.24,0.52,1.35,1.67,2.93,0.8,0.01,0.11,15.74,1.37,388.74,4.74,6.12,6.9,3.94,8.2,6.49,0.0,0.01,0.11,2.17,2.6,2.62,4.6,388.74,0.4,5.91,0.35,18.99,1.24,0.28,3.19,37.49,2.66,0.71,1.99,1.82,2695000.0,65950.0,446000.0,2.25,24.3,21720000.0,7.6,17100000.0,42.7,12.0,262665.0,29530.0,2.9,106500000.0,37.9,0.0,0.0,5125000.0,4487000.0,29.7,1.0,479700.0,0.0,57780.0,1.5,47890.0,0.0,17.9,37.0,75.746,4380326.0,No,Yes,4380326.0,105950000000.0,4380326.0,78.64,0.25,4380326.0,4380326.0,0.379,No mosquitoes that spread Zika
Jamaica,140.67,0.0,2.02,1.82,1.77,580.57,11.49,13.25,4.63,49.69,61.66,1.06,0.34,0.4,5.56,2.34,0.47,0.0,25.41,18.75,4.11,580.57,4.13,3.14,4.8,6.72,14.66,13.2,0.0,1.43,0.11,2.28,1.87,2.77,3.62,580.57,0.08,25.63,0.85,14.23,0.29,4.13,7.0,70.26,2.28,0.24,3.33,47.92,1348000.0,4007.0,55000.0,2.06,25.2,198200.0,11.42,0.0,28.2,80.0,26060.0,5151.0,9.2,8900000.0,24.7,0.0,15.0,198200.0,2736000.0,29.4,6.2,0.0,3.0,2847.0,4.4,16760.0,24360.0,16.03,62.0,74.77,2985094.0,No,Yes,2985094.0,13970000000.0,2985094.0,75.08,0.11,2985094.0,2985094.0,0.247,Current or past transmission but no Zika outbreak
Japan,96.45,0.14,0.36,0.17,1.86,283.23,1.41,13.59,2.49,30.62,1.35,0.53,2.12,0.33,2.36,1.98,0.33,0.5,0.03,1.07,2.08,283.23,2.76,6.62,4.78,0.32,18.06,12.69,0.0,0.41,0.04,3.28,2.19,4.92,8.87,283.23,0.14,2.45,0.4,2.21,0.42,0.47,11.47,23.21,12.24,0.53,1.06,0.19,65010000.0,989300.0,3894000.0,1.38,12.5,127200000.0,1.92,3058000.0,35.8,5.0,4883791.0,644700.0,29.2,1268000000.0,4.3,1.0,20.0,116600000.0,125960000.0,48.6,0.0,0.0,8.0,943700.0,0.5,3240000.0,3208000.0,7.0,3888.0,84.91,125584838.0,Yes,No,125584838.0,5040000000000.0,125584838.0,106.48,0.07,125584838.0,125584838.0,0.043,No mosquitoes that spread Zika
Indonesia,94.68,0.0,13.37,3.95,1.74,840.3,7.89,8.15,4.43,125.99,48.73,32.99,1.78,0.38,1.81,9.27,0.58,0.22,12.25,27.73,4.68,840.3,4.53,8.53,40.2,6.1,12.46,40.63,0.44,11.44,0.1,0.52,6.4,3.94,2.43,840.3,0.3,3.12,0.58,11.88,1.61,1.9,1.28,178.3,2.55,34.32,1.23,4.38,125000000.0,235400.0,1601000.0,2.04,23.9,42320000.0,20.16,72090000.0,13.7,177.0,3281170.0,150100.0,7.8,540700000.0,6.9,0.0,6.0,0.0,269603000.0,31.1,12.6,302300.0,9.0,213400.0,3.8,344700.0,498500.0,15.59,5091.0,72.138,279134505.0,No,Yes,279134505.0,1060000000000.0,279134505.0,78.49,0.11,279134505.0,279134505.0,0.069,Current or past transmission but no Zika outbreak
Fiji,104.79,0.0,38.33,2.7,1.04,1059.11,11.31,7.43,11.65,229.26,243.61,16.4,6.65,0.52,3.84,4.37,3.39,0.02,3.43,27.17,6.47,1059.11,3.99,9.03,10.9,6.04,6.89,24.76,0.0,2.71,0.1,2.55,1.9,9.37,3.05,1059.11,0.26,6.95,8.19,14.33,0.26,3.06,3.19,96.45,9.51,5.68,2.64,2.26,353100.0,914.0,16000.0,2.28,26.9,0.0,10.27,0.0,27.0,34.0,8629.0,1911.0,7.3,2369000.0,30.2,0.0,27.0,0.0,895000.0,29.9,4.3,0.0,38.0,850.0,3.4,833.4,0.0,16.9,21.0,67.782,909466.0,No,Yes,909466.0,4570000000.0,909466.0,83.96,0.18,909466.0,909466.0,0.302,Current or past transmission but no Zika outbreak
Turkey,138.22,0.0,2.72,0.79,5.04,485.15,1.48,11.95,5.98,95.94,20.07,0.87,0.66,1.13,3.05,4.9,0.4,0.02,0.24,16.35,1.86,485.15,5.6,5.13,7.14,3.74,39.65,28.02,0.0,0.66,0.19,1.49,1.48,1.96,7.76,485.15,0.43,6.25,0.51,6.52,1.73,0.36,11.66,49.06,2.34,0.35,1.23,4.73,31300000.0,261900.0,989900.0,1.94,23.4,53600000.0,19.87,368100.0,25.0,17.0,2062045.0,225100.0,8.4,379500000.0,32.1,0.0,14.0,55130000.0,83731000.0,32.2,0.0,0.0,33.0,231100.0,11.1,410400.0,521500.0,14.54,1295.0,78.222,85561976.0,Yes,No,85561976.0,719920000000.0,85561976.0,86.8,0.15,85561976.0,85561976.0,0.321,With mosquitoes but no reported Zika cases
Algeria,83.18,0.0,5.72,4.61,4.05,530.79,3.0,8.74,6.2,154.36,13.25,2.25,1.01,2.46,2.23,3.38,1.54,0.01,0.43,23.82,2.19,530.79,3.03,1.52,9.52,6.68,11.0,13.25,0.0,0.21,0.19,0.87,1.9,3.26,2.72,530.79,0.65,3.05,0.97,21.81,2.0,0.31,5.61,66.29,2.6,6.72,0.21,1.71,11820000.0,66890.0,405000.0,2.55,29.6,41280000.0,20.23,93500000.0,25.4,112.0,630000.0,48540.0,6.2,135900000.0,27.4,0.0,2.0,0.0,44224000.0,28.9,16.4,756400.0,1.0,55960.0,5.6,5934.0,5340.0,19.24,581.0,77.318,45350148.0,No,Yes,45350148.0,147600000000.0,45350148.0,76.0,0.07,45350148.0,45350148.0,0.27399999999999997,No mosquitoes that spread Zika
Bangladesh,86.41,0.0,7.7,5.68,0.84,629.95,3.79,3.57,4.7,94.27,25.49,29.61,4.55,2.34,0.98,2.64,0.89,0.16,0.36,13.27,1.2,629.95,1.29,2.29,16.64,7.38,10.24,41.72,0.03,1.7,0.13,15.32,12.13,5.56,1.15,629.95,0.34,1.52,2.25,16.74,0.68,1.01,5.45,119.2,3.85,25.88,0.33,2.89,66640000.0,60510.0,106000.0,2.1,26.5,29530000.0,31.13,29530000.0,10.5,173.0,655623.0,47560.0,6.8,79970000.0,3.6,0.0,2.0,0.0,169896000.0,27.9,13.1,0.0,2.0,53650.0,5.6,37260.0,21860.0,17.88,2530.0,73.286,167885689.0,No,Yes,167885689.0,323060000000.0,167885689.0,74.33,0.14,167885689.0,167885689.0,0.036000000000000004,Current or past transmission but no Zika outbreak
Egypt,120.67,0.0,10.51,3.36,8.13,814.16,0.91,4.35,7.73,268.11,27.97,3.32,1.09,0.13,2.96,2.57,1.72,0.13,0.41,34.03,3.07,814.16,4.53,34.11,93.37,6.01,8.02,20.69,0.0,1.1,0.22,1.39,1.16,4.29,4.11,814.16,0.2,2.4,1.62,11.77,1.52,0.35,2.54,65.24,3.41,0.54,0.67,4.42,29950000.0,183500.0,878000.0,3.23,33.6,57710000.0,18.25,50860000.0,17.5,37.0,1087520.0,59780.0,4.4,232700000.0,32.0,0.0,2.0,7079000.0,100604000.0,24.1,0.6,246500.0,6.0,159700.0,23.5,50670.0,64760.0,26.44,1650.0,72.38,106156692.0,No,Yes,106156692.0,364020000000.0,106156692.0,76.32,0.21,106156692.0,106156692.0,0.32,With mosquitoes but no reported Zika cases
Iraq,73.44,0.0,5.15,4.96,3.81,743.7,0.74,4.32,6.83,227.26,43.4,3.46,1.56,1.73,1.35,2.77,2.35,0.01,0.0,16.27,5.43,743.7,4.79,3.04,10.94,8.0,11.72,8.53,0.0,0.24,0.13,0.95,2.01,6.33,2.88,743.7,0.27,1.18,1.42,34.41,2.0,0.25,3.94,128.44,4.74,2.26,0.32,17.2,8900000.0,75450.0,826000.0,3.32,37.0,2633000.0,20.08,1274000.0,33.5,79.0,600154.0,39470.0,3.3,117900000.0,30.4,0.0,0.0,1359000.0,40150000.0,21.2,14.6,3092000.0,9.0,38460.0,0.1,68010.0,0.0,25.21,537.0,70.938,42164965.0,No,Yes,42164965.0,169490000000.0,42164965.0,89.28,0.11,42164965.0,42164965.0,0.304,No mosquitoes that spread Zika
Maldives,78.83,0.0,3.6,0.99,2.01,454.41,7.07,7.68,4.18,103.55,17.38,4.2,3.18,0.46,6.8,5.8,0.99,0.02,0.0,6.22,1.71,454.41,2.87,9.2,7.83,2.91,13.06,34.69,0.0,1.0,0.06,0.03,4.34,4.22,1.42,454.41,0.05,4.43,1.04,1.85,0.01,3.03,0.39,52.95,2.76,4.39,0.83,1.95,222200.0,402.0,11000.0,1.71,22.1,0.0,26.4,0.0,29.4,53.0,6901.0,2125.0,4.8,1648000.0,8.6,0.0,4.0,0.0,557400.0,29.5,1.4,0.0,0.0,374.0,2.3,741.6,0.0,15.69,4.0,79.606,540985.0,No,Yes,540985.0,3740000000.0,540985.0,80.54,0.09,540985.0,540985.0,0.086,Current or past transmission but no Zika outbreak
Jordan,103.93,0.0,2.17,1.77,4.28,505.49,1.02,10.85,6.89,98.9,34.57,1.66,0.94,1.64,2.34,2.84,1.91,0.02,0.02,33.16,1.25,505.49,6.03,3.51,9.16,5.49,19.34,9.42,0.0,0.29,0.16,1.09,2.26,3.3,4.2,505.49,0.49,2.96,0.38,19.68,0.64,0.95,6.24,62.96,1.98,0.13,1.39,2.89,2295000.0,18600.0,139000.0,3.0,33.1,5238000.0,14.25,121800.0,21.9,46.0,89000.0,18210.0,3.7,27390000.0,35.5,0.0,12.0,6456000.0,10680000.0,23.5,3.1,0.0,0.0,16820.0,3.3,26660.0,67980.0,22.79,111.0,74.874,10300869.0,No,Yes,10300869.0,43760000000.0,10300869.0,80.7,0.15,10300869.0,10300869.0,0.355,No mosquitoes that spread Zika
Venezuela,94.22,0.46,1.13,3.1,1.35,623.36,7.07,7.41,9.91,99.32,41.42,5.21,1.38,0.81,2.78,3.17,0.52,0.08,26.13,19.28,2.2,623.36,3.6,3.76,8.36,8.87,14.1,19.28,1.44,2.41,0.18,1.34,1.96,6.32,3.94,623.36,0.24,10.71,0.29,39.75,2.02,0.06,7.93,45.07,2.1,2.72,1.12,64.65,14210000.0,109300.0,659000.0,2.24,25.7,24210000.0,22.23,27070000.0,28.7,125.0,269068.0,11000.0,8.2,129900000.0,25.6,0.0,0.0,0.0,32605000.0,30.0,6.9,1656000.0,49.0,71960.0,10875.0,91990.0,0.0,17.55,593.0,72.298,29266991.0,No,Yes,29266991.0,47260000000.0,29266991.0,82.99,0.1,29266991.0,29266991.0,0.256,Current or past transmission but no Zika outbreak
Singapore,90.81,0.0,0.45,0.07,1.4,317.4,0.99,13.72,1.92,60.68,1.28,0.34,0.44,0.26,0.49,2.93,0.09,0.04,0.2,8.44,2.67,317.4,3.16,8.32,2.4,0.65,17.56,4.45,0.0,0.0,0.03,1.56,3.49,1.03,6.08,317.4,0.02,3.68,0.28,1.69,0.71,1.6,4.8,18.41,9.65,0.34,1.64,0.22,3657000.0,48660.0,1322000.0,1.15,12.8,12970000.0,1.56,0.0,15.8,8.0,555648.0,312100.0,10.9,249500000.0,6.1,0.0,2.0,13480000.0,5686000.0,35.6,0.0,14780.0,0.0,47690.0,0.6,467400.0,783300.0,9.13,82.0,83.934,5943546.0,No,Yes,5943546.0,345290000000.0,5943546.0,105.89,0.12,5943546.0,5943546.0,0.061,Current or past transmission but no Zika outbreak
Armenia,126.92,0.12,0.23,1.15,4.25,603.67,2.62,11.44,9.09,201.46,17.0,0.38,0.7,0.97,1.4,1.01,0.46,1.71,1.98,16.78,4.1,603.67,3.78,8.82,15.03,4.47,25.17,18.09,0.0,0.03,0.27,1.24,1.51,7.62,8.75,603.67,0.58,5.2,1.59,17.47,1.36,0.62,11.02,48.21,2.66,1.17,3.06,3.57,1507000.0,6951.0,8000.0,1.65,18.6,2350000.0,12.47,0.0,22.7,26.0,28340.0,3771.0,12.6,5501000.0,20.2,9.0,0.0,2350000.0,2962000.0,36.6,0.0,0.0,32.0,5291.0,0.9,8365.0,0.0,11.45,79.0,75.414,2971966.0,Yes,No,2971966.0,12640000000.0,2971966.0,88.82,0.06,2971966.0,2971966.0,0.20199999999999999,No mosquitoes that spread Zika
Colombia,84.23,0.18,0.36,1.2,1.1,434.82,4.23,8.06,5.86,76.09,9.13,1.43,1.39,0.92,2.59,2.74,0.25,0.12,5.08,11.15,2.46,434.82,4.22,3.82,4.52,3.69,9.72,27.51,0.05,3.49,0.12,1.53,1.48,3.03,3.74,434.82,0.12,6.47,0.07,14.72,1.84,1.97,11.32,29.57,3.74,2.37,0.78,36.61,25760000.0,74920.0,333000.0,2.14,23.3,10080000.0,12.88,10020000.0,27.7,83.0,668233.0,44240.0,8.4,95590000.0,22.3,0.0,2.0,48140.0,50372000.0,31.2,8.6,726700.0,69.0,68250.0,4.3,110900.0,0.0,16.51,817.0,77.7,51512762.0,No,Yes,51512762.0,270420000000.00003,51512762.0,83.13,0.08,51512762.0,51512762.0,0.223,Current or past transmission but no Zika outbreak
